DOOR CARDS					
					
Name	Type	Description	Effect	Power	Bad Stuff
Monster: level 1	MONSTER	_description_	none	1	none
Monster: level 1	MONSTER	_description_	none	1	none
Monster: level 1	MONSTER	_description_	none	1	none
Monster: level 2	MONSTER	_description_	none	2	none
Monster: level 2	MONSTER	_description_	none	2	none
Monster: level 2	MONSTER	_description_	none	2	none
Monster: level 2	MONSTER	_description_	none	2	none
Monster: level 2	MONSTER	_description_	none	2	none
Monster: level 4	MONSTER	_description_	none	4	none
Monster: level 4	MONSTER	_description_	none	4	none
Monster: level 4	MONSTER	_description_	none	4	none
Monster: level 4	MONSTER	_description_	none	4	none
Monster: level 6	MONSTER	_description_	none	6	none
Monster: level 6	MONSTER	_description_	none	6	none
Monster: level 6	MONSTER	_description_	none	6	none
Monster: level 8	MONSTER	_description_	none	8	none
Monster: level 8	MONSTER	_description_	none	8	none
Monster: level 8	MONSTER	_description_	none	8	none
Monster: level 8	MONSTER	_description_	none	8	none
Monster: level 10	MONSTER	_description_	none	10	none
Monster: level 10	MONSTER	_description_	none	10	none
Monster: level 10	MONSTER	_description_	none	10	none
Monster: level 12	MONSTER	_description_	none	12	none
Monster: level 12	MONSTER	_description_	none	12	none
Monster: level 12	MONSTER	_description_	none	12	none
Monster: level 14	MONSTER	_description_	none	14	none
Monster: level 14	MONSTER	_description_	none	14	none
Monster: level 14	MONSTER	_description_	none	14	none
Monster: level 16	MONSTER	_description_	none	16	none
Monster: level 16	MONSTER	_description_	none	16	none
Monster: level 18	MONSTER	_description_	none	18	none
Monster: level 18	MONSTER	_description_	none	18	none
Monster: level 20	MONSTER	_description_	none	20	none
					
					
TREASURE CARDS	Type 	Desciption	Effect	Power	Bad Stuff
Flamethrower	Neutral	bonus to either side: +5	temp. battle power: +5	0	none
Freeze Ray	Neutral	bonus to either side: +3	temp. battle power: +3	0	none
Lower Gravity	Neutral	bonus to either side: +2	temp. battle power: +2	0	none
Stray Missile	Neutral	bonus to either side: +5	temp. battle power: +5	0	none
Lighting Storm In Space	Neutral	bonus to either side: +5	temp. battle power: +5	0	none
Alien Alcohol	Neutral	bonus to either side: +3	temp. battle power: +3	0	none
Man Up	Neutral	bonus to either side: +2	temp. battle power: +2	0	none
Ray Shield	Neutral	bonus to either side: +3	temp. battle power: +3	0	none
Solar Flare	Neutral	bonus to either side: +2	temp. battle power: +2	0	none
Vulcan Wisdom	Neutral	bonus to any vulcan in the current fight: +2	temp. battle power: +2	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level	level: +1	0	none
GO UP A LEVEL	level modifier	go up a level ONLY after combat (doesnt have to be your combat)	level: +1	0	none
GO UP A LEVEL	level modifier	stab a follower	level: +1	0	none
r2d2	FOLLOWER	teamed with you in your battles and can carry an item	item(s) total: +1	0	none
scottie	FOLLOWER	teamed with you in your battles and can carry an item	item(s) total: +1	0	none
STEAL A LEVEL	level modifier	pick one player and steal a level from them. You go up one and they go down one	level: +1	0	none
PARADOX	card stop	cancels any trap or curse. play at any time, useable only once	draw card: skip	0	none
PARADOX	card stop	cancels any trap or curse. play at any time, useable only once	draw card: skip	0	none
REACH THROUGH TIME	cards	Go through the discards to find any card that you want and take that card and discard this one. Usable only once. 	current user card(s): +1	0	none
ALIEN TREASURE STASH	cards	draw three more teasure cards immediately. They are face down if you drew this card face down; otherwise, they are face-up	current user card(s): +3	0	none
SPACE GORILLA GLUE	help	Use when someone sucessfully escapes a combat for any reason. They must reroll their escape (even if it was automatic)	escape roll: redo	0	none
CLONE	help	Summons your exact duplicate who fights beside you. You double your total strength. You may use this when you are the only player in combat.	battle power (temp): *2	0	none
Invisibility Ray	help	Use when your run away roll fails. You escape automatically. Usable only worse	escape roll: pass	0	none
Portal Collapse	help	Allows automatic escape, for one or two players, from any fight	escape roll: pass	0	none
Mind control	help	No player with a level higher than yours may refuse your request for help in a fight, or even ask for a reward. You cannot gain the winning level through compelling someone to fight with you.	battle power (temp): +_player_	0	none
Redirect	help	Play durring any combat. Any player (of your choice) now fights the monster, may ask for help normally, and gets the treasure and levels if he/she wins the fight. The original player then resumes their turn and may loot the room.	player vs monster: _player_	0	none
Mind wipe	help	Discard all monsters in combat. No treasure is gained but the player may loot the room. Usable only once.	combat: _end_, 	0	none
Actual God	help	you may encounter an actual god only on your turn. The god steps in and renders the battle finished as the monster is now a puff of smoke. Even if you had failed a run away , you may now take the monsters treasure but no level is gained. Usable only once.	combat: _end_, 	0	none
Trans-Modifier	monster alteration	Use during any combat. Turns any one monster into anv Tauntaun, which runs away, leaving its treasure behind. Usable only once.  	combat: _draw treasures_ 	0	none
Mind Trick	help	Allows you to change the victim of a curse you receive. Usable only once	player affected: _player_	0	none
item for left hand	Equipable	power increase through item	lhand +1	0	none
item for right hand	Equipable	power increase through item	rhand +1	0	none
item for left hand	Equipable	power increase through item	lhand +2	0	none
item for right hand	Equipable	power increase through item	rhand +2	0	none
item for left hand	Equipable	power increase through item	lhand +3	0	none
item for right hand	Equipable	power increase through item	rhand +3	0	none
item for left hand	Equipable	power increase through item	lhand +4	0	none
item for right hand	Equipable	power increase through item	rhand +4	0	none
item for left hand	Equipable	power increase through item	lhand +5	0	none
item for right hand	Equipable	power increase through item	rhand +5	0	none
item for head	Equipable	power increase through item	head +1	0	none
item for head	Equipable	power increase through item	head +2	0	none
item for head	Equipable	power increase through item	head +3	0	none
item for head	Equipable	power increase through item	head +4	0	none
item for head	Equipable	power increase through item	head +5	0	none
item for foot	Equipable	power increase through item	foot +1	0	none
item for foot	Equipable	power increase through item	foot +2	0	none
item for foot	Equipable	power increase through item	foot +3	0	none
item for foot	Equipable	power increase through item	foot +4	0	none
item for foot	Equipable	power increase through item	foot +5	0	none
armor	Equipable	power increase through item	armor +1 	0	none
armor	Equipable	power increase through item	armor +2 	0	none
armor	Equipable	power increase through item	armor +3	0	none
armor	Equipable	power increase through item	armor +4	0	none
armor	Equipable	power increase through item	armor +5	0	none
